iter	Passed	Remaining
996	19319	8371
997	19338	8351
998	19362	8334
999	19381	8314
1000	19399	8294
1001	19417	8274
1002	19434	8254
1003	19452	8234
1004	19470	8214
1005	19488	8194
1006	19506	8174
1007	19524	8154
1008	19543	8134
1009	19560	8114
1010	19578	8094
1011	19597	8075
1012	19616	8055
1013	19635	8036
1014	19656	8017
1015	19674	7997
1016	19693	7978
1017	19713	7959
1018	19738	7941
1019	19755	7921
1020	19773	7901
1021	19790	7881
1022	19808	7861
1023	19826	7841
1024	19844	7821
1025	19862	7801
1026	19881	7782
1027	19899	7762
1028	19918	7742
1029	19936	7723
1030	19956	7703
1031	19977	7685
1032	19997	7666
1033	20019	7647
1034	20057	7635
1035	20092	7622
1036	20121	7606
1037	20155	7592
1038	20194	7580
1039	20217	7562
1040	20242	7544
1041	20274	7529
1042	20304	7514
1043	20342	7501
1044	20367	7484
1045	20400	7469
1046	20442	7458
1047	20510	7456
1048	20535	7439
1049	20558	7420
1050	20604	7410
1051	20629	7392
1052	20653	7374
1053	20673	7355
1054	20695	7336
1055	20718	7318
1056	20737	7298
1057	20756	7278
1058	20775	7258
1059	20798	7240
1060	20837	7227
1061	20871	7212
1062	20900	7196
1063	20927	7178
1064	20952	7161
1065	20973	7142
1066	20995	7123
1067	21017	7104
1068	21038	7085
1069	21064	7067
1070	21084	7047
1071	21109	7030
1072	21132	7011
1073	21151	6991
1074	21171	6971
1075	21191	6952
1076	21212	6932
1077	21234	6913
1078	21252	6893
1079	21270	6873
1080	21288	6853
1081	21309	6833
1082	21329	6814
1083	21347	6794
1084	21365	6773
1085	21385	6754
1086	21403	6734
1087	21426	6715
1088	21449	6696
1089	21467	6676
1090	21489	6657
1091	21511	6638
1092	21529	6618
1093	21547	6598
1094	21565	6577
1095	21582	6557
1096	21600	6537
1097	21618	6517
1098	21635	6496
1099	21652	6476
1100	21672	6456
1101	21691	6436
1102	21710	6416
1103	21729	6396
1104	21749	6377
1105	21769	6357
1106	21791	6338
1107	21813	6319
1108	21834	6300
1109	21855	6281
1110	21877	6261
1111	21901	6243
1112	21923	6224
1113	21946	6205
1114	21966	6186
1115	21990	6167
1116	22012	6148
1117	22039	6130
1118	22062	6112
1119	22084	6092
1120	22103	6073
1121	22124	6053
1122	22142	6033
1123	22160	6013
1124	22178	5993
1125	22202	5974
1126	22222	5954
1127	22239	5934
1128	22257	5914
1129	22276	5894
1130	22294	5874
1131	22313	5854
1132	22333	5834
1133	22355	5815
1134	22375	5795
1135	22393	5775
1136	22410	5755
1137	22428	5735
1138	22447	5715
1139	22465	5695
1140	22497	5678
1141	22521	5659
1142	22541	5640
1143	22560	5620
1144	22579	5600
1145	22600	5581
1146	22619	5561
1147	22638	5541
1148	22657	5521
1149	22675	5501
1150	22694	5481
1151	22716	5462
1152	22732	5441
1153	22751	5421
1154	22768	5401
1155	22785	5381
1156	22804	5361
1157	22823	5341
1158	22842	5321
1159	22862	5301
1160	22881	5281
1161	22901	5262
1162	22919	5242
1163	22939	5222
1164	22957	5202
1165	22975	5182
1166	22994	5162
1167	23010	5141
1168	23028	5121
1169	23047	5101
1170	23068	5082
1171	23087	5062
1172	23106	5042
